search_query_id,session_id,customer_id,country_code,search_term,search_timestamp,results_count,clicked_result_position,clicked_product_id,filters_applied,sort_order,search_refinements,no_results,created_at
SEARCH_2024_0000001,SES_00000505,CUST_DE_0000419,DE,running shoes,2024-09-14 08:07:00,92,8,PROD_000156,[],relevance,1,False,2025-10-14 12:47:15
SEARCH_2024_0000002,SES_00002671,CUST_DE_0000177,DE,wintermantel,2024-06-10 09:35:00,81,4,PROD_000047,['category:men'],price_high,0,False,2025-10-14 12:47:15
SEARCH_2024_0000003,SES_00002190,CUST_FR_0000742,FR,mode durable,2024-07-11 16:59:00,218,9,,"['color:black','brand:eurostyle']",price_low,4,False,2025-10-14 12:47:15
SEARCH_2024_0000004,SES_00001548,CUST_BE_0001663,BE,sports bra,2024-09-07 22:05:00,242,9,,[],newest,5,False,2025-10-14 12:47:15
SEARCH_2024_0000005,SES_00004089,CUST_BE_0001762,BE,party dress,2024-11-28 19:29:00,39,9,,[],popular,4,False,2025-10-14 12:47:15
SEARCH_2024_0000006,SES_00000767,CUST_FR_0001049,FR,wool sweater,2024-11-16 17:04:00,67,1,PROD_000170,"['category:men','size:M','category:women']",newest,5,False,2025-10-14 12:47:15
SEARCH_2024_0000007,SES_00007654,CUST_FR_0000765,FR,mode durable,2024-07-05 19:38:00,162,10,PROD_000036,"['material:cotton','color:black']",relevance,5,False,2025-10-14 12:47:15
SEARCH_2024_0000008,SES_00002988,CUST_FR_0001183,FR,winter jacket,2024-09-02 14:30:00,198,6,PROD_000166,[],price_high,5,False,2025-10-14 12:47:15
SEARCH_2024_0000009,SES_00001440,CUST_DE_0000258,DE,sports bra,2024-09-08 12:40:00,218,1,,"['price:under50','color:black']",relevance,1,False,2025-10-14 12:47:15
SEARCH_2024_0000010,SES_00006752,CUST_FR_0001163,FR,party dress,2024-09-28 09:48:00,2,,,"['price:50to100','material:cotton']",newest,3,False,2025-10-14 12:47:15
SEARCH_2024_0000011,SES_00003831,CUST_DE_0000170,DE,sports bra,2024-08-08 09:12:00,148,,PROD_000113,"['sustainable:true','color:white']",relevance,4,False,2025-10-14 12:47:15
SEARCH_2024_0000012,SES_00010387,CUST_NL_0001253,NL,eco friendly,2024-11-12 22:44:00,224,9,,[],price_high,0,False,2025-10-14 12:47:15
SEARCH_2024_0000013,SES_00005572,,NL,new arrivals,2024-11-22 07:24:00,42,7,PROD_000227,"['color:red','material:cotton']",price_low,4,False,2025-10-14 12:47:15
SEARCH_2024_0000014,SES_00004225,CUST_DE_0000478,DE,trending now,2024-10-24 16:44:00,182,,PROD_000151,[],popular,2,False,2025-10-14 12:47:15
SEARCH_2024_0000015,SES_00001415,CUST_DE_0000317,DE,sommerkleid,2024-08-23 06:43:00,25,7,PROD_000038,[],price_low,1,False,2025-10-14 12:47:15
SEARCH_2024_0000016,SES_00004966,,DE,sommerkleid,2024-08-16 07:51:00,27,5,,['sustainable:true'],price_low,0,False,2025-10-14 12:47:15
SEARCH_2024_0000017,SES_00008262,CUST_DE_0000193,DE,running shoes,2024-10-29 14:17:00,0,,,['category:women'],newest,3,True,2025-10-14 12:47:15
SEARCH_2024_0000018,SES_00011026,CUST_DE_0000630,DE,jeans,2024-10-12 06:24:00,82,,PROD_000243,['color:red'],price_high,3,False,2025-10-14 12:47:15
SEARCH_2024_0000019,SES_00010670,CUST_FR_0000741,FR,jeans,2024-09-09 11:19:00,117,9,PROD_000019,['sustainable:true'],newest,2,False,2025-10-14 12:47:15
SEARCH_2024_0000020,SES_00003355,,NL,running shoes,2024-08-08 21:36:00,54,3,,[],newest,5,False,2025-10-14 12:47:15
SEARCH_2024_0000021,SES_00007481,CUST_DE_0000168,DE,running shoes,2024-06-07 08:32:00,147,4,,[],relevance,3,False,2025-10-14 12:47:15
SEARCH_2024_0000022,SES_00005836,CUST_FR_0000793,FR,white shirt,2024-06-04 01:34:00,29,9,PROD_000018,[],popular,2,False,2025-10-14 12:47:15
SEARCH_2024_0000023,SES_00003048,CUST_BE_0001729,BE,winter jacket,2024-11-26 05:16:00,163,10,,[],newest,3,False,2025-10-14 12:47:15
SEARCH_2024_0000024,SES_00004049,CUST_NL_0001238,NL,sneakers,2024-10-20 18:00:00,129,9,PROD_000085,"['color:red','color:white','size:L']",price_high,1,False,2025-10-14 12:47:15
SEARCH_2024_0000025,SES_00010242,CUST_LU_0001941,LU,black dress,2024-09-29 23:06:00,2,,PROD_000207,[],relevance,4,False,2025-10-14 12:47:15
SEARCH_2024_0000026,SES_00007275,,FR,party dress,2024-08-13 08:42:00,169,,PROD_000020,"['price:under50','category:men','category:women']",popular,2,False,2025-10-14 12:47:15
SEARCH_2024_0000027,SES_00004025,,LU,summer dress,2024-08-26 00:17:00,94,,PROD_000149,"['color:black','size:L']",price_low,2,False,2025-10-14 12:47:15
SEARCH_2024_0000028,SES_00007068,CUST_NL_0001589,NL,vintage style,2024-09-05 14:12:00,156,,PROD_000171,['color:white'],price_high,1,False,2025-10-14 12:47:15
SEARCH_2024_0000029,SES_00010265,CUST_LU_0001956,LU,running shoes,2024-10-29 07:21:00,135,2,PROD_000059,"['size:L','sustainable:true']",relevance,1,False,2025-10-14 12:47:15
SEARCH_2024_0000030,SES_00000493,CUST_DE_0000394,DE,leather jacket,2024-09-07 21:55:00,168,4,,['color:white'],popular,3,False,2025-10-14 12:47:15
SEARCH_2024_0000031,SES_00004277,CUST_NL_0001557,NL,sneakers,2024-06-03 11:56:00,212,,PROD_000074,[],price_low,4,False,2025-10-14 12:47:15
SEARCH_2024_0000032,SES_00005503,,FR,summer dress,2024-06-15 06:20:00,167,,PROD_000092,['color:white'],popular,4,False,2025-10-14 12:47:15
SEARCH_2024_0000033,SES_00005673,CUST_FR_0000969,FR,eco friendly,2024-07-09 05:41:00,52,8,PROD_000016,"['color:white','size:M']",popular,3,False,2025-10-14 12:47:15
SEARCH_2024_0000034,SES_00005834,CUST_DE_0000003,DE,sneakers,2024-10-04 16:09:00,183,,PROD_000242,[],popular,1,False,2025-10-14 12:47:15
SEARCH_2024_0000035,SES_00000953,CUST_FR_0001048,FR,office attire,2024-09-20 16:22:00,249,,,['category:men'],relevance,2,False,2025-10-14 12:47:15
