order_id,customer_id,store_id,order_date,order_datetime,delivery_date,promised_delivery_date,subtotal_eur,tax_amount_eur,shipping_cost_eur,discount_amount_eur,total_amount_eur,currency_code,exchange_rate,total_amount_local,order_status,fulfillment_center,shipping_method,tracking_number,order_channel,traffic_source,campaign_code,payment_method,payment_status,customer_service_notes,return_reason,return_date,created_at,updated_at
ORD_00000001,CUST_FR_0000946,,2024-06-01,2024-06-01 15:14:00,2024-06-08,2024-06-08,85.35,17.07,0.0,0,102.42,EUR,1.0,102.42,completed,FC_FR,next_day,TRK254495736,online,referral,,debit_card,completed,,,,2024-06-01 15:14:00,2024-06-01 15:14:00
ORD_00000002,CUST_DE_0000270,,2024-06-01,2024-06-01 14:04:00,2024-06-04,2024-06-05,393.69,78.74,0.0,0,472.42,EUR,1.0,472.42,completed,FC_DE,click_collect,TRK699355517,online,social_media,,debit_card,completed,,,,2024-06-01 14:04:00,2024-06-01 14:04:00
ORD_00000003,CUST_NL_0001475,STORE_NL_002,2024-06-02,2024-06-02 15:38:00,2024-06-09,2024-06-08,27.1,5.42,5.26,0,37.78,EUR,1.0,37.78,completed,FC_NL,standard,TRK994428279,online,social_media,,paypal,completed,,,,2024-06-02 15:38:00,2024-06-02 15:38:00
ORD_00000004,CUST_DE_0000658,,2024-06-02,2024-06-02 11:35:00,,2024-06-05,155.4,31.08,0.0,0,186.48,EUR,1.0,186.48,shipped,FC_DE,express,TRK130929429,online,referral,,buy_now_pay_later,completed,,,,2024-06-02 11:35:00,2024-06-02 11:35:00
ORD_00000005,CUST_DE_0000183,STORE_DE_030,2024-06-03,2024-06-03 14:48:00,2024-06-05,2024-06-06,340.41,68.08,0.0,0,408.5,EUR,1.0,408.5,completed,FC_DE,standard,TRK208114272,online,direct,,bank_transfer,completed,,,,2024-06-03 14:48:00,2024-06-03 14:48:00
ORD_00000006,CUST_FR_0000827,STORE_FR_038,2024-06-04,2024-06-04 14:58:00,2024-06-06,2024-06-05,441.8,88.36,0.0,0,530.17,EUR,1.0,530.17,completed,FC_FR,standard,TRK831649498,online,referral,,buy_now_pay_later,completed,,,,2024-06-04 14:58:00,2024-06-04 14:58:00
ORD_00000007,CUST_BE_0001719,,2024-06-04,2024-06-04 16:33:00,2024-06-10,2024-06-11,161.19,32.24,0.0,0,193.43,EUR,1.0,193.43,completed,FC_BE,next_day,TRK543838810,online,paid_search,,credit_card,completed,,,,2024-06-04 16:33:00,2024-06-04 16:33:00
ORD_00000008,CUST_DE_0000166,,2024-06-05,2024-06-05 08:37:00,,,276.8,55.36,0.0,0,332.16,EUR,1.0,332.16,processing,FC_DE,click_collect,,mobile_app,paid_search,,paypal,completed,,,,2024-06-05 08:37:00,2024-06-05 08:37:00
ORD_00000009,CUST_NL_0001252,,2024-06-06,2024-06-06 20:20:00,,,106.21,21.24,0.0,0,127.45,EUR,1.0,127.45,cancelled,FC_NL,next_day,,online,display_ads,,paypal,failed,,,,2024-06-06 20:20:00,2024-06-06 20:20:00
ORD_00000010,CUST_DE_0000671,,2024-06-07,2024-06-07 18:29:00,2024-06-09,2024-06-08,341.35,68.27,0.0,0,409.62,EUR,1.0,409.62,completed,FC_DE,click_collect,TRK118924887,online,email,,buy_now_pay_later,completed,,,,2024-06-07 18:29:00,2024-06-07 18:29:00
ORD_00000011,CUST_BE_0001899,,2024-06-07,2024-06-07 19:54:00,2024-06-12,2024-06-13,114.42,22.88,0.0,0,137.3,EUR,1.0,137.3,completed,FC_BE,next_day,TRK687187976,online,referral,,debit_card,completed,,,,2024-06-07 19:54:00,2024-06-07 19:54:00
ORD_00000012,CUST_DE_0000354,STORE_DE_032,2024-06-08,2024-06-08 13:30:00,2024-06-12,2024-06-12,123.36,24.67,0.0,0,148.03,EUR,1.0,148.03,completed,FC_DE,express,TRK111070229,online,paid_search,,credit_card,completed,,,,2024-06-08 13:30:00,2024-06-08 13:30:00
ORD_00000013,CUST_DE_0000087,STORE_DE_032,2024-06-08,2024-06-08 14:18:00,2024-06-09,2024-06-09,687.72,137.54,0.0,0,825.26,EUR,1.0,825.26,completed,FC_DE,next_day,TRK132892624,online,paid_search,,bank_transfer,completed,,,,2024-06-08 14:18:00,2024-06-08 14:18:00
ORD_00000014,CUST_DE_0000406,,2024-06-09,2024-06-09 19:15:00,,,27.1,5.42,7.64,0,40.16,EUR,1.0,40.16,processing,FC_DE,next_day,,mobile_app,social_media,,bank_transfer,completed,,,,2024-06-09 19:15:00,2024-06-09 19:15:00
ORD_00000015,CUST_BE_0001729,,2024-06-10,2024-06-10 16:17:00,2024-06-12,2024-06-13,72.47,14.49,0.0,0,86.96,EUR,1.0,86.96,completed,FC_BE,standard,TRK581178368,online,organic_search,,bank_transfer,completed,,,,2024-06-10 16:17:00,2024-06-10 16:17:00
ORD_00000016,CUST_NL_0001452,STORE_NL_006,2024-06-11,2024-06-11 12:45:00,2024-06-17,2024-06-17,473.47,94.69,0.0,0,568.16,EUR,1.0,568.16,completed,FC_NL,next_day,TRK149368892,in_store,direct,,credit_card,completed,,,,2024-06-11 12:45:00,2024-06-11 12:45:00
ORD_00000017,CUST_DE_0000386,,2024-06-12,2024-06-12 20:48:00,2024-06-13,2024-06-14,484.82,96.96,0.0,0,581.78,EUR,1.0,581.78,completed,FC_DE,standard,TRK192320874,online,paid_search,,bank_transfer,completed,,,,2024-06-12 20:48:00,2024-06-12 20:48:00
