product_id,product_name,product_name_local,category_l1,category_l2,category_l3,brand,color_primary,color_secondary,size_range,material_composition,price_eur,price_local,cost_price_eur,margin_percentage,sustainability_score,eco_friendly_materials,carbon_footprint_kg,production_country,current_stock_total,reorder_level,lead_time_days,launch_date,season,is_active,discontinue_date,online_availability,product_url,image_urls,created_at,updated_at
PROD_000001,Casual Beige T-Shirt,"{'EN': 'Casual Beige T-Shirt', 'DE': 'Casual Beige T-Shirt', 'FR': 'Casual Beige T-Shirt', 'NL': 'Casual Beige T-Shirt'}",Women,Tops,T-Shirts,TrendSetters,Beige,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Leather,32.82,{'EUR': 32.82},16.26,50.45,4,False,7.36,Italy,1822,364,35,2023-05-04,Fall/Winter 2025,True,,False,https://eurostyle.com/products/casual-beige-t-shirt,"['https://eurostyle.com/images/casual-beige-t-shirt-main.jpg', 'https://eurostyle.com/images/casual-beige-t-shirt-detail.jpg', 'https://eurostyle.com/images/casual-beige-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746815,2025-10-14 13:00:07.746817
PROD_000002,Sporty White T-Shirt,"{'EN': 'Sporty White T-Shirt', 'DE': 'Sporty White T-Shirt', 'FR': 'Sporty White T-Shirt', 'NL': 'Sporty White T-Shirt'}",Women,Tops,T-Shirts,ClassicFit,White,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Wool,76.79,{'EUR': 76.79},30.14,60.75,7,False,10.56,Portugal,1507,301,39,2022-05-19,Spring/Summer 2024,True,,True,https://eurostyle.com/products/sporty-white-t-shirt,"['https://eurostyle.com/images/sporty-white-t-shirt-main.jpg', 'https://eurostyle.com/images/sporty-white-t-shirt-detail.jpg', 'https://eurostyle.com/images/sporty-white-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746828,2025-10-14 13:00:07.746828
PROD_000003,Sporty Brown T-Shirt,"{'EN': 'Sporty Brown T-Shirt', 'DE': 'Sporty Brown T-Shirt', 'FR': 'Sporty Brown T-Shirt', 'NL': 'Sporty Brown T-Shirt'}",Women,Tops,T-Shirts,TrendSetters,Brown,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Silk,45.65,{'EUR': 45.65},20.04,56.1,4,False,8.05,Belgium,1226,245,35,2025-04-28,Fall/Winter 2024,True,,False,https://eurostyle.com/products/sporty-brown-t-shirt,"['https://eurostyle.com/images/sporty-brown-t-shirt-main.jpg', 'https://eurostyle.com/images/sporty-brown-t-shirt-detail.jpg', 'https://eurostyle.com/images/sporty-brown-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746838,2025-10-14 13:00:07.746838
PROD_000004,Premium Beige T-Shirt,"{'EN': 'Premium Beige T-Shirt', 'DE': 'Premium Beige T-Shirt', 'FR': 'Premium Beige T-Shirt', 'NL': 'Premium Beige T-Shirt'}",Women,Tops,T-Shirts,UrbanChic,Beige,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Polyester,23.4,{'EUR': 23.4},8.21,64.91,6,False,12.05,China,1067,213,33,2025-11-15,Fall/Winter 2024,True,,True,https://eurostyle.com/products/premium-beige-t-shirt,"['https://eurostyle.com/images/premium-beige-t-shirt-main.jpg', 'https://eurostyle.com/images/premium-beige-t-shirt-detail.jpg', 'https://eurostyle.com/images/premium-beige-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746847,2025-10-14 13:00:07.746847
PROD_000005,Elegant Blue T-Shirt,"{'EN': 'Elegant Blue T-Shirt', 'DE': 'Elegant Blue T-Shirt', 'FR': 'Elegant Blue T-Shirt', 'NL': 'Elegant Blue T-Shirt'}",Women,Tops,T-Shirts,BasicStyle,Blue,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Cashmere,78.0,{'EUR': 78.0},41.67,46.58,6,False,9.48,India,1441,288,36,2025-05-16,Fall/Winter 2025,True,,True,https://eurostyle.com/products/elegant-blue-t-shirt,"['https://eurostyle.com/images/elegant-blue-t-shirt-main.jpg', 'https://eurostyle.com/images/elegant-blue-t-shirt-detail.jpg', 'https://eurostyle.com/images/elegant-blue-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746856,2025-10-14 13:00:07.746856
PROD_000006,Trendy Brown T-Shirt,"{'EN': 'Trendy Brown T-Shirt', 'DE': 'Trendy Brown T-Shirt', 'FR': 'Trendy Brown T-Shirt', 'NL': 'Trendy Brown T-Shirt'}",Women,Tops,T-Shirts,EuroStyle,Brown,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Polyester,31.53,{'EUR': 31.53},17.32,45.08,6,False,8.34,Vietnam,461,92,57,2024-01-04,Spring/Summer 2025,True,,True,https://eurostyle.com/products/trendy-brown-t-shirt,"['https://eurostyle.com/images/trendy-brown-t-shirt-main.jpg', 'https://eurostyle.com/images/trendy-brown-t-shirt-detail.jpg', 'https://eurostyle.com/images/trendy-brown-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746864,2025-10-14 13:00:07.746865
PROD_000007,Modern Black T-Shirt,"{'EN': 'Modern Black T-Shirt', 'DE': 'Modern Black T-Shirt', 'FR': 'Moderne Black T-Shirt', 'NL': 'Modern Black T-Shirt'}",Women,Tops,T-Shirts,UrbanChic,Black,,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Silk,62.1,{'EUR': 62.1},26.21,57.8,3,False,9.49,Belgium,1865,373,24,2024-07-10,Spring/Summer 2025,True,,True,https://eurostyle.com/products/modern-black-t-shirt,"['https://eurostyle.com/images/modern-black-t-shirt-main.jpg', 'https://eurostyle.com/images/modern-black-t-shirt-detail.jpg', 'https://eurostyle.com/images/modern-black-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746877,2025-10-14 13:00:07.746877
PROD_000008,Basic Brown T-Shirt,"{'EN': 'Basic Brown T-Shirt', 'DE': 'Basic Brown T-Shirt', 'FR': 'Basic Brown T-Shirt', 'NL': 'Basic Brown T-Shirt'}",Women,Tops,T-Shirts,PremiumWear,Brown,Cream,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Tencel,26.23,{'EUR': 26.23},10.51,59.93,7,True,3.26,Belgium,390,78,28,2024-08-06,Spring/Summer 2025,True,,True,https://eurostyle.com/products/basic-brown-t-shirt,"['https://eurostyle.com/images/basic-brown-t-shirt-main.jpg', 'https://eurostyle.com/images/basic-brown-t-shirt-detail.jpg', 'https://eurostyle.com/images/basic-brown-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746886,2025-10-14 13:00:07.746886
PROD_000009,Trendy Orange T-Shirt,"{'EN': 'Trendy Orange T-Shirt', 'DE': 'Trendy Orange T-Shirt', 'FR': 'Trendy Orange T-Shirt', 'NL': 'Trendy Orange T-Shirt'}",Women,Tops,T-Shirts,ClassicFit,Orange,Gold,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Tencel,62.09,{'EUR': 62.09},30.47,50.92,7,True,2.34,Italy,1227,245,53,2024-03-14,Spring/Summer 2025,True,,False,https://eurostyle.com/products/trendy-orange-t-shirt,"['https://eurostyle.com/images/trendy-orange-t-shirt-main.jpg', 'https://eurostyle.com/images/trendy-orange-t-shirt-detail.jpg', 'https://eurostyle.com/images/trendy-orange-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746895,2025-10-14 13:00:07.746895
PROD_000010,Sporty Yellow T-Shirt,"{'EN': 'Sporty Yellow T-Shirt', 'DE': 'Sporty Yellow T-Shirt', 'FR': 'Sporty Yellow T-Shirt', 'NL': 'Sporty Yellow T-Shirt'}",Women,Tops,T-Shirts,BasicStyle,Yellow,Rose Gold,"['XS', 'S', 'M', 'L', 'XL', 'XXL']",Leather,34.47,{'EUR': 34.47},12.89,62.61,7,False,7.72,Vietnam,1069,213,22,2024-12-19,Fall/Winter 2024,True,,True,https://eurostyle.com/products/sporty-yellow-t-shirt,"['https://eurostyle.com/images/sporty-yellow-t-shirt-main.jpg', 'https://eurostyle.com/images/sporty-yellow-t-shirt-detail.jpg', 'https://eurostyle.com/images/sporty-yellow-t-shirt-lifestyle.jpg']",2025-10-14 13:00:07.746904,2025-10-14 13:00:07.746904
